2022 FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Houston,Dana Holgorsen,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Tulane,Penn State,Utah,Kansas State,Florida State,USC,Washington,Clemson,Oregon,LSU,Oregon State,Notre Dame,Mississippi State,Troy,Pittsburgh,UCLA,UTSA,South Carolina,Fresno State
Arkansas State,Butch Jones,Georgia,TCU,Michigan,Ohio State,Alabama,Penn State,Tennessee,Washington,Tulane,Utah,Florida State,USC,Clemson,Kansas State,Oregon,Oregon State,LSU,Notre Dame,Troy,Mississippi State,Pittsburgh,UCLA,South Carolina,Texas,Boise State
Kansas State,Chris Klieman,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Kansas State,Clemson,Florida State,Utah,Oregon State,USC,LSU,Oregon,Notre Dame,Mississippi State,Pittsburgh,Fresno State,Troy,Minnesota,South Carolina,Texas Tech
SMU,Rhett Lashlee,Georgia,Ohio State,Alabama,TCU,Michigan,Tennessee,Penn State,Washington,Tulane,Florida State,Utah,USC,LSU,Oregon,Clemson,Kansas State,Oregon State,Notre Dame,UCLA,Mississippi State,Pittsburgh,South Carolina,BYU,Maryland,Troy
Kansas,Lance Leipold,Georgia,TCU,Michigan,Ohio State,Penn State,Alabama,Tennessee,Washington,Utah,Tulane,Clemson,Kansas State,USC,Florida State,Oregon,LSU,Oregon State,Notre Dame,Troy,Mississippi State,Fresno State,UCLA,Duke,Minnesota,Texas
Western Michigan,Tim Lester,Georgia,TCU,Michigan,Ohio State,Alabama,Penn State,Tennessee,Washington,Florida State,Tulane,LSU,Clemson,Utah,USC,Oregon State,Oregon,Kansas State,Notre Dame,Mississippi State,South Carolina,Pittsburgh,UCLA,Texas,Troy,UTSA
Kent State,Sean Lewis,Georgia,Ohio State,Alabama,TCU,Michigan,Tennessee,Penn State,Washington,USC,Florida State,Tulane,Utah,Clemson,Kansas State,LSU,Oregon,Oregon State,Notre Dame,Mississippi State,South Carolina,UCLA,Troy,Fresno State,Duke,Pittsburgh
Maryland,Mike Locksley,Georgia,TCU,Michigan,Ohio State,Alabama,Penn State,Tennessee,Washington,Tulane,Oregon,Florida State,USC,Oregon State,Utah,Clemson,LSU,Kansas State,Notre Dame,Troy,Pittsburgh,UCLA,Mississippi State,Duke,Minnesota,Maryland
Florida International,Mike MacIntyre,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Tulane,Clemson,Kansas State,Utah,Florida State,USC,LSU,Oregon State,Oregon,Mississippi State,Notre Dame,Troy,UCLA,Fresno State,North Carolina,Duke,UTSA
Miami (OH),Chuck Martin,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Clemson,Penn State,Washington,Florida State,LSU,Oregon State,Utah,Oregon,Kansas State,Tulane,USC,Notre Dame,UCLA,South Carolina,Texas,Mississippi State,Troy,UTSA,Fresno State
