2020 Week 16,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Notre Dame,Brian Kelly,Alabama,Clemson,Notre Dame,Ohio State,Cincinnati,Texas A&M,Oklahoma,Indiana,North Carolina,Coastal Carolina,Iowa State,Florida,Georgia,Miami,Northwestern,Louisiana,BYU,Iowa,NC State,USC,San Jose State,Liberty,Tulsa,Texas,Oklahoma State
Kansas State,Chris Klieman,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Oklahoma,Indiana,Georgia,Florida,Iowa State,Coastal Carolina,Northwestern,Iowa,North Carolina,BYU,Louisiana,Miami,Texas,NC State,Oklahoma State,San Jose State,Liberty,Army,USC
Buffalo,Lance Leipold,Alabama,Clemson,Ohio State,Cincinnati,Notre Dame,Texas A&M,Oklahoma,Florida,Indiana,Iowa State,Coastal Carolina,Georgia,Northwestern,BYU,Louisiana,San Jose State,Tulsa,Iowa,North Carolina,Liberty,Miami,Texas,USC,Oklahoma State,Ball State
Western Michigan,Tim Lester,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Coastal Carolina,Oklahoma,Indiana,Florida,Louisiana,Iowa State,Georgia,USC,Northwestern,BYU,North Carolina,San Jose State,Tulsa,Miami,Iowa,Texas,Oklahoma State,NC State,Liberty
North Texas,Seth Littrell,Alabama,Clemson,Ohio State,Texas A&M,Cincinnati,Notre Dame,Oklahoma,Indiana,Georgia,Iowa State,North Carolina,Coastal Carolina,BYU,Louisiana,San Jose State,Southern Methodist,Army,Liberty,Miami,Oklahoma State,Iowa,NC State,Tulsa,Texas,Oregon
Maryland,Mike Locksley,Alabama,Clemson,Ohio State,Notre Dame,Cincinnati,Texas A&M,Indiana,Oklahoma,Coastal Carolina,Georgia,Iowa,Iowa State,North Carolina,Northwestern,Florida,USC,Louisiana,BYU,San Jose State,Miami,Tulsa,NC State,Liberty,Texas,Oklahoma State
Bowling Green,Scot Loeffler,Alabama,Ohio State,Clemson,Notre Dame,Texas A&M,Indiana,Cincinnati,Coastal Carolina,Oklahoma,Georgia,Florida,BYU,Northwestern,Louisiana,Miami,Iowa State,Texas,Tulsa,North Carolina,Liberty,Oklahoma State,Oregon,USC,San Jose State,Iowa
Georgia Southern,Chad Lunsford,Alabama,Clemson,Ohio State,Cincinnati,Notre Dame,Texas A&M,Oklahoma,Coastal Carolina,Indiana,Florida,Georgia,Louisiana,Iowa State,BYU,Iowa,North Carolina,Northwestern,Miami,Liberty,USC,Oklahoma State,San Jose State,Tulsa,Texas,NC State
Auburn,Gus Malzahn,Alabama,Clemson,Texas A&M,Ohio State,Notre Dame,Florida,Georgia,Cincinnati,Indiana,Oklahoma,Iowa State,North Carolina,Northwestern,Iowa,Louisiana,Miami,Auburn,USC,Coastal Carolina,BYU,Liberty,Oklahoma State,NC State,Army,Tulsa
Army,Jeff Monken,Alabama,Ohio State,Clemson,Texas A&M,Indiana,Notre Dame,Cincinnati,Oklahoma,Georgia,Florida,Iowa State,Coastal Carolina,Northwestern,North Carolina,BYU,Iowa,Louisiana,USC,Miami,Liberty,Oklahoma State,NC State,San Jose State,Army,Texas
